"","number","player","yr","pos","ht","b_t","app","gs","era","ip","cg","h","r","er","bb","so","sho","bf","p_oab","x2b_a","x3b_a","bk","hr_a","wp","hb","ibb","inh_run","inh_run_score","sha","sfa","pitches","go","fo","w","l","sv","kl","pickoffs","AB","BAA","team_id","year"
"74","Hits-AB w2outs","Brady Stuart","Jr","P","-","R/R",NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"75","Bases Empty","Brady Stuart","Jr","P","-","R/R",NA,NA,0,13.2,NA,16,0,0,10,16,NA,70,"60",2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"",13,14,NA,NA,NA,4,NA,NA,NA,597157,2025
"76","H-AB scorepos","Brady Stuart","Jr","P","-","R/R",NA,NA,0,12.2,NA,8,0,0,2,11,NA,45,"39",1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"",13,7,NA,NA,NA,4,NA,NA,NA,597157,2025
"77","H-AB scorepos2","Brady Stuart","Jr","P","-","R/R",NA,NA,0,3.2,NA,3,0,0,0,4,NA,15,"14",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"",3,3,NA,NA,NA,NA,NA,NA,NA,597157,2025
"78","H-AB runners2","Brady Stuart","Jr","P","-","R/R",NA,NA,0,6.1,NA,6,0,0,0,8,NA,26,"25",1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,"",6,4,NA,NA,NA,NA,NA,NA,NA,597157,2025
"79","H-AB bases loaded","Brady Stuart","Jr","P","-","R/R",NA,NA,0,4,NA,1,0,0,0,3,NA,10,"10",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",3,2,NA,NA,NA,2,NA,NA,NA,597157,2025
"80","Hits-AB vs rhb","Brady Stuart","Jr","P","-","R/R",NA,NA,0,29.1,NA,25,0,0,15,30,NA,123,"106",3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"",30,19,NA,NA,NA,9,NA,NA,NA,597157,2025
"81","33","Kyan Bagshaw","Jr","P","-","R/R",14,2,7.43,13.1,NA,10,13,11,16,20,NA,68,"46",1,1,1,2,1,5,NA,NA,NA,NA,1,"301",6,11,1,NA,NA,5,NA,NA,NA,597157,2025
"82","Succ-Opp against Leadoff Batter","Kyan Bagshaw","Jr","P","-","R/R",NA,NA,0,2.1,NA,4,0,0,2,2,NA,14,"11",NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,"",1,4,NA,NA,NA,NA,NA,NA,NA,597157,2025
"83","Hits-AB with runners ob","Kyan Bagshaw","Jr","P","-","R/R",NA,NA,0,7,NA,3,0,0,12,12,NA,38,"23",NA,1,1,NA,1,3,NA,NA,NA,NA,NA,"",2,4,NA,NA,NA,3,NA,NA,NA,597157,2025
