"","number","player","yr","pos","ht","b_t","app","gs","era","ip","cg","h","r","er","bb","so","sho","bf","p_oab","x2b_a","x3b_a","bk","hr_a","wp","hb","ibb","inh_run","inh_run_score","sha","sfa","pitches","go","fo","w","l","sv","kl","pickoffs","AB","BAA","team_id","year","flyout_perc","groundout_perc","k_perc","bb_perc","obp","x1b_a","ops"
"686","19","Cam Heeman","So","P","5-9","R/R",4,0,2.25,4,0,3,1,1,2,3,0,17,13,1,0,0,0,0,0,0,0,0,1,1,48,2,7,0,0,0,1,0,13,0.230769230769231,597070,2025,0.777777777777778,0.222222222222222,0.176470588235294,0.117647058823529,0.3125,2,0.620192307692308
"687","Succ-Opp against Leadoff Batter","Cam Heeman","So","P","5-9","R/R",0,0,0,0.1,0,1,0,0,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,2,0.5,597070,2025,NA,NA,0.333333333333333,0.333333333333333,0.666666666666667,1,1.16666666666667
"688","Hits-AB with runners ob","Cam Heeman","So","P","5-9","R/R",0,0,0,3,0,2,0,0,1,2,0,12,10,1,0,0,0,0,0,0,0,0,0,0,NA,2,5,0,0,0,0,0,11,0.181818181818182,597070,2025,0.714285714285714,0.285714285714286,0.166666666666667,0.0833333333333333,0.25,1,0.522727272727273
"689","Hits-AB vs lhb","Cam Heeman","So","P","5-9","R/R",0,0,0,2.2,0,1,0,0,1,3,0,10,8,1,0,0,0,0,0,0,0,0,0,0,NA,1,4,0,0,0,1,0,9,0.111111111111111,597070,2025,0.8,0.2,0.3,0.1,0.2,0,0.422222222222222
"690","Hits-AB w2outs","Cam Heeman","So","P","5-9","R/R",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,597070,2025,NA,NA,NA,NA,NA,0,NA
"691","Bases Empty","Cam Heeman","So","P","5-9","R/R",0,0,0,1,0,1,0,0,1,1,0,5,4,0,0,0,0,0,0,0,0,0,0,0,NA,0,2,0,0,0,1,0,4,0.25,597070,2025,1,0,0.2,0.2,0.4,1,0.65
"692","H-AB scorepos","Cam Heeman","So","P","5-9","R/R",0,0,0,2.2,0,0,0,0,1,2,0,9,7,0,0,0,0,0,0,0,0,0,0,0,NA,2,4,0,0,0,0,0,8,0,597070,2025,0.666666666666667,0.333333333333333,0.222222222222222,0.111111111111111,0.111111111111111,0,0.111111111111111
"693","H-AB scorepos2","Cam Heeman","So","P","5-9","R/R",0,0,0,1.1,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,NA,1,3,0,0,0,0,0,4,0,597070,2025,0.75,0.25,0,0,0,0,0
"694","H-AB runners2","Cam Heeman","So","P","5-9","R/R",0,0,0,1.1,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,NA,1,3,0,0,0,0,0,4,0,597070,2025,0.75,0.25,0,0,0,0,0
"695","H-AB bases loaded","Cam Heeman","So","P","5-9","R/R",0,0,0,1,0,0,0,0,1,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,0,0,0,0,0,3,0,597070,2025,0.5,0.5,0.25,0.25,0.25,0,0.25
"696","Hits-AB vs rhb","Cam Heeman","So","P","5-9","R/R",0,0,0,1.1,0,2,0,0,1,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,NA,1,3,0,0,0,0,0,6,0.333333333333333,597070,2025,0.75,0.25,0,0.142857142857143,0.428571428571429,2,0.761904761904762
"697","43","Jason Pinsonnault","So","P","-","R/R",1,0,0,1,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,12,0,2,0,0,0,0,0,3,0,597070,2025,1,0,0.333333333333333,0,0,0,0
"698","Succ-Opp against Leadoff Batter","Jason Pinsonnault","So","P","-","R/R",0,0,0,0.1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,0,597070,2025,1,0,0,0,0,0,0
"699","Hits-AB w2outs","Jason Pinsonnault","So","P","-","R/R",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,597070,2025,NA,NA,NA,NA,NA,0,NA
"700","Bases Empty","Jason Pinsonnault","So","P","-","R/R",0,0,0,1,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,NA,0,2,0,0,0,0,0,3,0,597070,2025,1,0,0.333333333333333,0,0,0,0
"701","Hits-AB vs rhb","Jason Pinsonnault","So","P","-","R/R",0,0,0,1,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,NA,0,2,0,0,0,0,0,3,0,597070,2025,1,0,0.333333333333333,0,0,0,0
"702","32","C. Flynn","Fr","p","-","R/R",6,4,6.61,16.1,0,17,16,12,9,14,0,83,66,3,0,0,0,7,4,0,0,0,2,2,294,15,19,1,1,0,4,0,66,0.257575757575758,597070,2025,0.558823529411765,0.441176470588235,0.168674698795181,0.108433734939759,0.37037037037037,14,0.673400673400673
"703","Succ-Opp against Leadoff Batter","C. Flynn","Fr","p","-","R/R",0,0,0,3,0,3,0,0,2,3,0,17,13,1,0,0,0,0,2,0,0,0,0,0,NA,3,3,0,0,0,1,0,13,0.230769230769231,597070,2025,0.5,0.5,0.176470588235294,0.117647058823529,0.411764705882353,2,0.719457013574661
"704","Hits-AB with runners ob","C. Flynn","Fr","p","-","R/R",0,0,0,10,0,11,0,0,7,10,0,51,40,1,0,0,0,7,2,0,0,0,0,0,NA,8,11,0,0,0,3,0,42,0.261904761904762,597070,2025,0.578947368421053,0.421052631578947,0.196078431372549,0.137254901960784,0.392156862745098,10,0.677871148459384
"705","Hits-AB vs lhb","C. Flynn","Fr","p","-","R/R",0,0,0,4,0,3,0,0,2,4,0,18,16,1,0,0,0,0,0,0,0,0,0,0,NA,3,5,0,0,0,0,0,16,0.1875,597070,2025,0.625,0.375,0.222222222222222,0.111111111111111,0.277777777777778,2,0.527777777777778
"706","Hits-AB w2outs","C. Flynn","Fr","p","-","R/R",0,0,0,0,0,4,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,597070,2025,NA,NA,NA,NA,Inf,4,Inf
"707","Bases Empty","C. Flynn","Fr","p","-","R/R",0,0,0,6.1,0,6,0,0,2,4,0,33,29,2,0,0,0,0,2,0,0,0,0,0,NA,7,8,0,0,0,1,0,29,0.206896551724138,597070,2025,0.533333333333333,0.466666666666667,0.121212121212121,0.0606060606060606,0.303030303030303,4,0.57889237199582
"708","H-AB scorepos","C. Flynn","Fr","p","-","R/R",0,0,0,8.1,0,10,0,0,5,10,0,41,34,1,0,0,0,6,1,0,0,0,0,0,NA,5,10,0,0,0,3,0,35,0.285714285714286,597070,2025,0.666666666666667,0.333333333333333,0.24390243902439,0.121951219512195,0.390243902439024,9,0.704529616724739
"709","H-AB scorepos2","C. Flynn","Fr","p","-","R/R",0,0,0,3.2,0,3,0,0,0,6,0,15,14,0,0,0,0,2,1,0,0,0,0,0,NA,2,3,0,0,0,2,0,14,0.214285714285714,597070,2025,0.6,0.4,0.4,0,0.266666666666667,3,0.480952380952381
"710","H-AB runners2","C. Flynn","Fr","p","-","R/R",0,0,0,4,0,3,0,0,0,6,0,16,15,0,0,0,0,2,1,0,0,0,0,0,NA,3,3,0,0,0,2,0,15,0.2,597070,2025,0.5,0.5,0.375,0,0.25,3,0.45
"711","H-AB bases loaded","C. Flynn","Fr","p","-","R/R",0,0,0,0.2,0,1,0,0,0,0,0,3,3,0,0,0,0,1,0,0,0,0,0,0,NA,0,2,0,0,0,0,0,3,0.333333333333333,597070,2025,1,0,0,0,0.333333333333333,1,0.666666666666667
"712","Hits-AB vs rhb","C. Flynn","Fr","p","-","R/R",0,0,0,12.1,0,14,0,0,7,10,0,66,53,2,0,0,0,7,4,0,0,0,0,0,NA,12,14,0,0,0,4,0,55,0.254545454545455,597070,2025,0.538461538461538,0.461538461538462,0.151515151515152,0.106060606060606,0.378787878787879,12,0.66969696969697
"713","34","J. Lewis","Fr","p","-","R/R",2,0,12.27,3.2,0,7,5,5,3,1,0,21,17,2,0,0,0,1,1,0,0,0,0,0,71,5,4,0,0,0,0,0,17,0.411764705882353,597070,2025,0.444444444444444,0.555555555555556,0.0476190476190476,0.142857142857143,0.523809523809524,5,1.05322128851541
"714","Succ-Opp against Leadoff Batter","J. Lewis","Fr","p","-","R/R",0,0,0,0.1,0,2,0,0,0,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,3,0.666666666666667,597070,2025,NA,NA,0.333333333333333,0,0.666666666666667,1,1.66666666666667
"715","Hits-AB with runners ob","J. Lewis","Fr","p","-","R/R",0,0,0,2.2,0,5,0,0,3,0,0,16,12,1,0,0,0,1,1,0,0,0,0,0,NA,3,4,0,0,0,0,0,12,0.416666666666667,597070,2025,0.571428571428571,0.428571428571429,0,0.1875,0.5625,4,1.0625
"716","Hits-AB vs lhb","J. Lewis","Fr","p","-","R/R",0,0,0,1,0,3,0,0,0,0,0,7,6,1,0,0,0,1,1,0,0,0,0,0,NA,1,2,0,0,0,0,0,6,0.5,597070,2025,0.666666666666667,0.333333333333333,0,0,0.571428571428571,2,1.23809523809524
"717","Hits-AB w2outs","J. Lewis","Fr","p","-","R/R",0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,597070,2025,NA,NA,NA,NA,Inf,1,Inf
"718","Bases Empty","J. Lewis","Fr","p","-","R/R",0,0,0,1,0,2,0,0,0,1,0,5,5,1,0,0,0,0,0,0,0,0,0,0,NA,2,0,0,0,0,0,0,5,0.4,597070,2025,0,1,0.2,0,0.4,1,1
"719","H-AB scorepos","J. Lewis","Fr","p","-","R/R",0,0,0,2.2,0,4,0,0,3,0,0,14,11,1,0,0,0,0,0,0,0,0,0,0,NA,3,4,0,0,0,0,0,11,0.363636363636364,597070,2025,0.571428571428571,0.428571428571429,0,0.214285714285714,0.5,3,0.954545454545455
"720","H-AB scorepos2","J. Lewis","Fr","p","-","R/R",0,0,0,0.2,0,1,0,0,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,NA,0,2,0,0,0,0,0,3,0.333333333333333,597070,2025,1,0,0,0.25,0.5,1,0.833333333333333
"721","H-AB runners2","J. Lewis","Fr","p","-","R/R",0,0,0,0.2,0,1,0,0,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,NA,0,2,0,0,0,0,0,3,0.333333333333333,597070,2025,1,0,0,0.25,0.5,1,0.833333333333333
"722","H-AB bases loaded","J. Lewis","Fr","p","-","R/R",0,0,0,0.2,0,1,0,0,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,0,0,0,0,0,3,0.333333333333333,597070,2025,0.5,0.5,0,0.25,0.5,1,0.833333333333333
"723","Hits-AB vs rhb","J. Lewis","Fr","p","-","R/R",0,0,0,1.2,0,1,0,0,1,1,0,6,5,1,0,0,0,0,0,0,0,0,0,0,NA,3,0,0,0,0,0,0,5,0.2,597070,2025,0,1,0.166666666666667,0.166666666666667,0.333333333333333,0,0.733333333333333
"724","29","C. Slifer","N/A","p","-","R/R",5,0,7.36,7.1,0,7,7,6,7,5,0,37,28,1,0,0,1,3,2,0,0,0,0,0,128,9,7,1,0,0,2,0,28,0.25,597070,2025,0.4375,0.5625,0.135135135135135,0.189189189189189,0.432432432432432,5,0.825289575289575
"725","Succ-Opp against Leadoff Batter","C. Slifer","N/A","p","-","R/R",0,0,0,2,0,1,0,0,0,2,0,8,7,0,0,0,1,0,1,0,0,0,0,0,NA,2,2,0,0,0,1,0,7,0.142857142857143,597070,2025,0.5,0.5,0.25,0,0.25,0,0.821428571428571
"726","Hits-AB with runners ob","C. Slifer","N/A","p","-","R/R",0,0,0,3,0,3,0,0,6,3,0,18,11,0,0,0,0,3,1,0,0,0,0,0,NA,3,2,0,0,0,1,0,11,0.272727272727273,597070,2025,0.4,0.6,0.166666666666667,0.333333333333333,0.555555555555556,3,0.828282828282828
"727","Hits-AB vs lhb","C. Slifer","N/A","p","-","R/R",0,0,0,1.2,0,3,0,0,1,1,0,9,8,0,0,0,1,0,0,0,0,0,0,0,NA,1,3,0,0,0,0,0,8,0.375,597070,2025,0.75,0.25,0.111111111111111,0.111111111111111,0.444444444444444,2,1.19444444444444
"728","Hits-AB w2outs","C. Slifer","N/A","p","-","R/R",0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,597070,2025,NA,NA,NA,NA,Inf,2,Inf
"729","Bases Empty","C. Slifer","N/A","p","-","R/R",0,0,0,4.1,0,4,0,0,1,2,0,19,17,1,0,0,1,0,1,0,0,0,0,0,NA,6,5,0,0,0,1,0,17,0.235294117647059,597070,2025,0.454545454545455,0.545454545454545,0.105263157894737,0.0526315789473684,0.31578947368421,2,0.786377708978328
"730","H-AB scorepos","C. Slifer","N/A","p","-","R/R",0,0,0,2.1,0,3,0,0,5,2,0,15,9,0,0,0,0,1,1,0,0,0,0,0,NA,3,1,0,0,0,1,0,9,0.333333333333333,597070,2025,0.25,0.75,0.133333333333333,0.333333333333333,0.6,3,0.933333333333333
"731","H-AB scorepos2","C. Slifer","N/A","p","-","R/R",0,0,0,1,0,1,0,0,1,1,0,5,4,0,0,0,0,1,0,0,0,0,0,0,NA,2,0,0,0,0,1,0,4,0.25,597070,2025,0,1,0.2,0.2,0.4,1,0.65
"732","H-AB runners2","C. Slifer","N/A","p","-","R/R",0,0,0,1,0,1,0,0,2,1,0,6,4,0,0,0,0,1,0,0,0,0,0,0,NA,2,0,0,0,0,1,0,4,0.25,597070,2025,0,1,0.166666666666667,0.333333333333333,0.5,1,0.75
"733","H-AB bases loaded","C. Slifer","N/A","p","-","R/R",0,0,0,0.2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,1,0,597070,2025,0,1,0,0,0,0,0
"734","Hits-AB vs rhb","C. Slifer","N/A","p","-","R/R",0,0,0,3.2,0,4,0,0,4,3,0,20,15,1,0,0,0,2,1,0,0,0,0,0,NA,5,3,0,0,0,1,0,15,0.266666666666667,597070,2025,0.375,0.625,0.15,0.2,0.45,3,0.783333333333333
"735","47","B. Rogers","N/A","p","-","R/R",1,0,0,0.2,0,1,0,0,1,1,0,5,4,0,0,0,0,1,0,0,0,0,0,0,13,1,0,0,0,0,0,0,4,0.25,597070,2025,0,1,0.2,0.2,0.4,1,0.65
"736","Hits-AB with runners ob","B. Rogers","N/A","p","-","R/R",0,0,0,0.2,0,1,0,0,1,1,0,5,4,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,4,0.25,597070,2025,NA,NA,0.2,0.2,0.4,1,0.65
"737","Hits-AB vs lhb","B. Rogers","N/A","p","-","R/R",0,0,0,0.1,0,1,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2,0.5,597070,2025,NA,NA,0.5,0,0.5,1,1
"738","Hits-AB w2outs","B. Rogers","N/A","p","-","R/R",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,597070,2025,NA,NA,NA,NA,NA,0,NA
"739","H-AB scorepos","B. Rogers","N/A","p","-","R/R",0,0,0,0.2,0,1,0,0,1,1,0,5,4,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,4,0.25,597070,2025,NA,NA,0.2,0.2,0.4,1,0.65
"740","H-AB scorepos2","B. Rogers","N/A","p","-","R/R",0,0,0,0.1,0,0,0,0,1,1,0,3,2,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2,0,597070,2025,NA,NA,0.333333333333333,0.333333333333333,0.333333333333333,0,0.333333333333333
"741","H-AB runners2","B. Rogers","N/A","p","-","R/R",0,0,0,0.1,0,0,0,0,1,1,0,3,2,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2,0,597070,2025,NA,NA,0.333333333333333,0.333333333333333,0.333333333333333,0,0.333333333333333
"742","H-AB bases loaded","B. Rogers","N/A","p","-","R/R",0,0,0,0.2,0,1,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,3,0.333333333333333,597070,2025,NA,NA,0.333333333333333,0,0.333333333333333,1,0.666666666666667
"743","Hits-AB vs rhb","B. Rogers","N/A","p","-","R/R",0,0,0,0.1,0,0,0,0,1,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2,0,597070,2025,NA,NA,0,0.333333333333333,0.333333333333333,0,0.333333333333333
"744","37","C. Dimenna","N/A","p","-","R/R",1,0,0,1,0,1,0,0,0,2,0,4,4,0,1,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,1,0,4,0.25,597070,2025,1,0,0.5,0,0.25,0,1
"745","Succ-Opp against Leadoff Batter","C. Dimenna","N/A","p","-","R/R",0,0,0,0.1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,0,597070,2025,1,0,0,0,0,0,0
"746","Hits-AB with runners ob","C. Dimenna","N/A","p","-","R/R",0,0,0,0.2,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,2,0,597070,2025,NA,NA,1,0,0,0,0
"747","Hits-AB w2outs","C. Dimenna","N/A","p","-","R/R",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,597070,2025,NA,NA,NA,NA,NA,0,NA
"748","Bases Empty","C. Dimenna","N/A","p","-","R/R",0,0,0,0.1,0,1,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,2,0.5,597070,2025,1,0,0,0,0.5,0,2
"749","H-AB scorepos","C. Dimenna","N/A","p","-","R/R",0,0,0,0.2,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,2,0,597070,2025,NA,NA,1,0,0,0,0
"750","H-AB scorepos2","C. Dimenna","N/A","p","-","R/R",0,0,0,0.1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,597070,2025,NA,NA,1,0,0,0,0
"751","H-AB runners2","C. Dimenna","N/A","p","-","R/R",0,0,0,0.1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,597070,2025,NA,NA,1,0,0,0,0
"752","Hits-AB vs rhb","C. Dimenna","N/A","p","-","R/R",0,0,0,1,0,1,0,0,0,2,0,4,4,0,1,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,1,0,4,0.25,597070,2025,1,0,0.5,0,0.25,0,1
"753","39","R. Bulger","N/A","p","-","R/R",4,0,9,5,0,5,5,5,2,4,0,23,18,0,0,0,1,0,1,0,0,0,1,1,69,4,7,0,0,0,2,0,18,0.277777777777778,597070,2025,0.636363636363636,0.363636363636364,0.173913043478261,0.0869565217391304,0.363636363636364,4,0.808080808080808
"754","Succ-Opp against Leadoff Batter","R. Bulger","N/A","p","-","R/R",0,0,0,0.2,0,1,0,0,1,1,0,5,3,0,0,0,0,0,1,0,0,0,0,0,NA,0,1,0,0,0,0,0,3,0.333333333333333,597070,2025,1,0,0.2,0.2,0.6,1,0.933333333333333
"755","Hits-AB with runners ob","R. Bulger","N/A","p","-","R/R",0,0,0,3,0,3,0,0,1,3,0,13,11,0,0,0,1,0,0,0,0,0,0,0,NA,2,4,0,0,0,2,0,12,0.25,597070,2025,0.666666666666667,0.333333333333333,0.230769230769231,0.0769230769230769,0.307692307692308,2,0.807692307692308
"756","Hits-AB vs lhb","R. Bulger","N/A","p","-","R/R",0,0,0,1,0,1,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,NA,1,2,0,0,0,0,0,4,0.25,597070,2025,0.666666666666667,0.333333333333333,0,0,0.25,1,0.5
"757","Hits-AB w2outs","R. Bulger","N/A","p","-","R/R",0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,597070,2025,NA,NA,NA,NA,Inf,2,Inf
"758","Bases Empty","R. Bulger","N/A","p","-","R/R",0,0,0,2,0,2,0,0,1,1,0,10,8,0,0,0,0,0,1,0,0,0,0,0,NA,2,3,0,0,0,0,0,8,0.25,597070,2025,0.6,0.4,0.1,0.1,0.4,2,0.65
"759","H-AB scorepos","R. Bulger","N/A","p","-","R/R",0,0,0,1.1,0,1,0,0,1,1,0,6,4,0,0,0,1,0,0,0,0,0,0,0,NA,1,2,0,0,0,1,0,5,0.2,597070,2025,0.666666666666667,0.333333333333333,0.166666666666667,0.166666666666667,0.333333333333333,0,1.13333333333333
"760","H-AB scorepos2","R. Bulger","N/A","p","-","R/R",0,0,0,0.1,0,1,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,2,0.5,597070,2025,1,0,0,0,0.5,0,2.5
"761","H-AB runners2","R. Bulger","N/A","p","-","R/R",0,0,0,1,0,1,0,0,0,1,0,4,4,0,0,0,1,0,0,0,0,0,0,0,NA,1,1,0,0,0,1,0,4,0.25,597070,2025,0.5,0.5,0.25,0,0.25,0,1.25
"762","Hits-AB vs rhb","R. Bulger","N/A","p","-","R/R",0,0,0,4,0,4,0,0,2,4,0,19,15,0,0,0,1,0,1,0,0,0,0,0,NA,3,5,0,0,0,2,0,16,0.25,597070,2025,0.625,0.375,0.210526315789474,0.105263157894737,0.368421052631579,3,0.805921052631579
"763","12","Jacob Hobart","Sr","P","5-9","R/R",10,9,8.49,41.1,1,62,41,39,10,22,0,195,182,14,0,0,6,4,1,0,0,0,1,1,499,42,53,2,3,0,3,1,182,0.340659340659341,597070,2025,0.557894736842105,0.442105263157895,0.112820512820513,0.0512820512820513,0.376288659793814,42,0.892772176277331
"764","Succ-Opp against Leadoff Batter","Jacob Hobart","Sr","P","5-9","R/R",0,0,0,7.1,0,16,0,0,3,5,0,41,38,4,0,0,0,0,0,0,0,0,0,0,NA,10,7,0,0,0,2,0,38,0.421052631578947,597070,2025,0.411764705882353,0.588235294117647,0.121951219512195,0.0731707317073171,0.463414634146341,12,0.989730423620026
"765","Hits-AB with runners ob","Jacob Hobart","Sr","P","5-9","R/R",0,0,0,23,0,34,0,0,4,10,0,106,101,7,0,0,4,4,0,0,0,0,0,0,NA,19,33,0,0,0,1,0,102,0.333333333333333,597070,2025,0.634615384615385,0.365384615384615,0.0943396226415094,0.0377358490566038,0.358490566037736,23,0.878098409174991
"766","Hits-AB vs lhb","Jacob Hobart","Sr","P","5-9","R/R",0,0,0,12.1,0,15,0,0,2,8,0,55,52,3,0,0,2,1,0,0,0,0,0,0,NA,13,14,0,0,0,1,0,53,0.283018867924528,597070,2025,0.518518518518518,0.481481481481481,0.145454545454545,0.0363636363636364,0.309090909090909,10,0.761921097770154
"767","Hits-AB w2outs","Jacob Hobart","Sr","P","5-9","R/R",0,0,0,0,0,18,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,597070,2025,NA,NA,NA,NA,Inf,18,Inf
"768","Bases Empty","Jacob Hobart","Sr","P","5-9","R/R",0,0,0,18.1,0,28,0,0,6,12,0,91,84,7,0,0,2,0,1,0,0,0,0,0,NA,23,20,0,0,0,2,0,84,0.333333333333333,597070,2025,0.465116279069767,0.534883720930233,0.131868131868132,0.0659340659340659,0.384615384615385,19,0.872710622710623
"769","H-AB scorepos","Jacob Hobart","Sr","P","5-9","R/R",0,0,0,16.2,0,22,0,0,3,10,0,76,73,5,0,0,3,3,0,0,0,0,0,0,NA,14,24,0,0,0,1,0,73,0.301369863013699,597070,2025,0.631578947368421,0.368421052631579,0.131578947368421,0.0394736842105263,0.328947368421053,14,0.82209805335256
"770","H-AB scorepos2","Jacob Hobart","Sr","P","5-9","R/R",0,0,0,6,0,10,0,0,0,5,0,30,30,2,0,0,2,1,0,0,0,0,0,0,NA,4,9,0,0,0,1,0,30,0.333333333333333,597070,2025,0.692307692307692,0.307692307692308,0.166666666666667,0,0.333333333333333,6,0.933333333333333
"771","H-AB runners2","Jacob Hobart","Sr","P","5-9","R/R",0,0,0,7,0,14,0,0,1,5,0,39,38,3,0,0,2,1,0,0,0,0,0,0,NA,4,12,0,0,0,1,0,38,0.368421052631579,597070,2025,0.75,0.25,0.128205128205128,0.0256410256410256,0.384615384615385,9,0.989878542510122
"772","H-AB bases loaded","Jacob Hobart","Sr","P","5-9","R/R",0,0,0,1.1,0,2,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,NA,2,1,0,0,0,0,0,5,0.4,597070,2025,0.333333333333333,0.666666666666667,0,0,0.4,2,0.8
"773","Hits-AB vs rhb","Jacob Hobart","Sr","P","5-9","R/R",0,0,0,29,0,47,0,0,8,14,0,142,133,11,0,0,4,3,1,0,0,0,0,0,NA,29,39,0,0,0,2,0,133,0.353383458646617,597070,2025,0.573529411764706,0.426470588235294,0.0985915492957746,0.0563380281690141,0.394366197183099,32,0.920681986656783
"774","21","Demitri Boulas","Sr","P","6-0","R/R",10,0,2.25,8,0,10,9,2,1,4,0,39,38,3,1,0,0,0,0,0,0,0,0,0,100,8,12,0,0,0,2,0,38,0.263157894736842,597070,2025,0.6,0.4,0.102564102564103,0.0256410256410256,0.282051282051282,6,0.676788124156545
"775","Succ-Opp against Leadoff Batter","Demitri Boulas","Sr","P","6-0","R/R",0,0,0,2.1,0,0,0,0,0,1,0,8,8,0,0,0,0,0,0,0,0,0,0,0,NA,2,4,0,0,0,1,0,8,0,597070,2025,0.666666666666667,0.333333333333333,0.125,0,0,0,0
"776","Hits-AB with runners ob","Demitri Boulas","Sr","P","6-0","R/R",0,0,0,4,0,5,0,0,1,2,0,21,20,3,0,0,0,0,0,0,0,0,0,0,NA,6,4,0,0,0,1,0,20,0.25,597070,2025,0.4,0.6,0.0952380952380952,0.0476190476190476,0.285714285714286,2,0.685714285714286
"777","Hits-AB vs lhb","Demitri Boulas","Sr","P","6-0","R/R",0,0,0,1.1,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,NA,2,2,0,0,0,0,0,5,0,597070,2025,0.5,0.5,0,0,0,0,0
"778","Hits-AB w2outs","Demitri Boulas","Sr","P","6-0","R/R",0,0,0,0,0,2,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,597070,2025,NA,NA,NA,NA,Inf,2,Inf
"779","Bases Empty","Demitri Boulas","Sr","P","6-0","R/R",0,0,0,4,0,5,0,0,0,2,0,18,18,0,1,0,0,0,0,0,0,0,0,0,NA,2,8,0,0,0,1,0,18,0.277777777777778,597070,2025,0.8,0.2,0.111111111111111,0,0.277777777777778,4,0.666666666666667
"780","H-AB scorepos","Demitri Boulas","Sr","P","6-0","R/R",0,0,0,2.1,0,4,0,0,1,2,0,14,13,3,0,0,0,0,0,0,0,0,0,0,NA,4,1,0,0,0,1,0,13,0.307692307692308,597070,2025,0.2,0.8,0.142857142857143,0.0714285714285714,0.357142857142857,1,0.895604395604396
